# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,5.80300598e+00,-2.04707933e-05,3.00000033e+06,6.00000041e+02,1.50000004e-01,2.50000006e-01,6.00000015e-01,0.00000000e+00
1.00100100e-01,5.80300598e+00,2.04707933e-05,3.00000033e+06,6.00000041e+02,1.50000004e-01,2.50000006e-01,6.00000015e-01,0.00000000e+00
2.00200200e-01,5.80300540e+00,1.14045290e-04,2.99999983e+06,6.00000006e+02,1.50000003e-01,2.50000004e-01,6.00000010e-01,0.00000000e+00
3.00300300e-01,5.80300493e+00,1.72359264e-04,2.99999938e+06,5.99999971e+02,1.50000001e-01,2.50000002e-01,6.00000004e-01,0.00000000e+00
4.00400400e-01,5.80300513e+00,1.68278636e-04,2.99999883e+06,5.99999880e+02,1.49999991e-01,2.49999985e-01,5.99999964e-01,0.00000000e+00
5.00500501e-01,5.80300717e+00,-8.69499470e-05,2.99999987e+06,5.99999901e+02,1.49999985e-01,2.49999975e-01,5.99999939e-01,0.00000000e+00
6.00600601e-01,5.80301009e+00,-5.83786795e-04,3.00000172e+06,5.99999985e+02,1.49999981e-01,2.49999969e-01,5.99999925e-01,0.00000000e+00
7.00700701e-01,5.80301084e+00,-7.73930210e-04,3.00000486e+06,6.00000387e+02,1.50000018e-01,2.50000030e-01,6.00000073e-01,0.00000000e+00
8.00800801e-01,5.80300749e+00,-5.86736528e-04,3.00000348e+06,6.00000397e+02,1.50000033e-01,2.50000055e-01,6.00000132e-01,0.00000000e+00
9.00900901e-01,5.80299482e+00,1.16626210e-03,2.99999890e+06,6.00000529e+02,1.50000099e-01,2.50000165e-01,6.00000395e-01,0.00000000e+00
1.00100100e+00,5.80298597e+00,2.69085916e-03,2.99998577e+06,5.99999202e+02,1.50000003e-01,2.50000004e-01,6.00000010e-01,0.00000000e+00
1.10110110e+00,5.80298897e+00,3.26945563e-03,2.99998394e+06,5.99998755e+02,1.49999945e-01,2.49999909e-01,5.99999782e-01,0.00000000e+00
1.20120120e+00,5.80301326e+00,7.08788953e-04,2.99999024e+06,5.99998148e+02,1.49999784e-01,2.49999641e-01,5.99999137e-01,0.00000000e+00
1.30130130e+00,5.80305490e+00,-7.18447321e-03,3.00001108e+06,5.99998542e+02,1.49999651e-01,2.49999419e-01,5.99998606e-01,0.00000000e+00
1.40140140e+00,5.80307928e+00,-9.42643761e-03,3.00007185e+06,6.00005711e+02,1.50000268e-01,2.50000446e-01,6.00001070e-01,0.00000000e+00
1.50150150e+00,5.80304706e+00,-1.02052027e-02,3.00003697e+06,6.00002727e+02,1.50000102e-01,2.50000171e-01,6.00000410e-01,0.00000000e+00
1.60160160e+00,5.80292232e+00,8.14201380e-03,3.00003907e+06,6.00010766e+02,1.50001422e-01,2.50002370e-01,6.00005689e-01,0.00000000e+00
1.70170170e+00,5.80278898e+00,2.39829919e-02,2.99981172e+06,5.99986558e+02,1.49999553e-01,2.49999255e-01,5.99998212e-01,0.00000000e+00
1.80180180e+00,5.80281237e+00,3.95389458e-02,2.99990425e+06,5.99998326e+02,1.50000633e-01,2.50001055e-01,6.00002532e-01,0.00000000e+00
1.90190190e+00,5.80298043e+00,2.01326465e-02,2.99975780e+06,5.99966979e+02,1.49996803e-01,2.49994672e-01,5.99987213e-01,0.00000000e+00
2.00200200e+00,5.80341031e+00,-5.12704869e-02,3.00015556e+06,5.99997133e+02,1.49998041e-01,2.49996735e-01,5.99992163e-01,0.00000000e+00
2.10210210e+00,5.80365534e+00,-9.11258262e-02,3.00042809e+06,6.00020864e+02,1.49999401e-01,2.49999001e-01,5.99997602e-01,0.00000000e+00
2.20220220e+00,5.80350751e+00,-9.91104939e-02,3.00058560e+06,6.00052534e+02,1.50003179e-01,2.50005298e-01,6.00012715e-01,0.00000000e+00
2.30230230e+00,5.80271279e+00,2.34886677e-02,3.00033019e+06,6.00065353e+02,1.50007748e-01,2.50012913e-01,6.00030992e-01,0.00000000e+00
2.40240240e+00,5.80159515e+00,1.37231055e-01,2.99889222e+06,5.99929250e+02,1.49998760e-01,2.49997933e-01,5.99995040e-01,0.00000000e+00
2.50250250e+00,5.80153960e+00,2.79247663e-01,2.99941544e+06,6.00007456e+02,1.50006811e-01,2.50011352e-01,6.00027245e-01,0.00000000e+00
2.60260260e+00,5.80211630e+00,2.02158882e-01,2.99809218e+06,5.99782587e+02,1.49981939e-01,2.49969898e-01,5.99927756e-01,0.00000000e+00
2.70270270e+00,5.80465507e+00,-1.43015784e-01,3.00083134e+06,6.00016451e+02,1.49994825e-01,2.49991376e-01,5.99979301e-01,0.00000000e+00
2.80280280e+00,5.80658754e+00,-5.98405954e-01,3.00073296e+06,5.99882557e+02,1.49973457e-01,2.49955761e-01,5.99893828e-01,0.00000000e+00
2.90290290e+00,5.80718750e+00,-5.86489520e-01,3.00551087e+06,6.00527411e+02,1.50035450e-01,2.50059083e-01,6.00141800e-01,0.00000000e+00
3.00300300e+00,5.80417776e+00,-2.99197072e-01,3.00130290e+06,6.00113409e+02,1.50006493e-01,2.50010822e-01,6.00025972e-01,0.00000000e+00
3.10310310e+00,5.79722925e+00,5.40889134e-01,2.99943477e+06,6.00277774e+02,1.50051710e-01,2.50086183e-01,6.00206840e-01,0.00000000e+00
3.20320320e+00,5.79487181e+00,1.12120690e+00,2.99273354e+06,5.99465846e+02,1.49980238e-01,2.49967063e-01,5.99920952e-01,0.00000000e+00
3.30330330e+00,5.79676153e+00,1.17148734e+00,2.99556813e+06,5.99754037e+02,1.50001241e-01,2.50002069e-01,6.00004966e-01,0.00000000e+00
3.40340340e+00,5.80473812e+00,2.56745872e-01,2.99738775e+06,5.99519319e+02,1.49944790e-01,2.49907983e-01,5.99779159e-01,0.00000000e+00
3.50350350e+00,5.81002144e+00,-1.43755944e+00,3.00073862e+06,5.99670472e+02,1.49938111e-01,2.49896851e-01,5.99752442e-01,0.00000000e+00
3.60360360e+00,5.81427836e+00,-1.33809773e+00,3.01179059e+06,6.00983115e+02,1.50051710e-01,2.50086183e-01,6.00206839e-01,0.00000000e+00
3.70370370e+00,5.81290337e+00,-1.61706104e+00,3.00567974e+06,6.00197172e+02,1.49978816e-01,2.49964694e-01,5.99915265e-01,0.00000000e+00
3.80380380e+00,5.80248194e+00,-2.69529263e-01,3.00854192e+06,6.01251856e+02,1.50127449e-01,2.50212415e-01,6.00509796e-01,0.00000000e+00
3.90390390e+00,5.79179810e+00,7.97791349e-01,2.98784250e+06,5.98956333e+02,1.49942031e-01,2.49903386e-01,5.99768125e-01,0.00000000e+00
4.00400400e+00,5.79369476e+00,1.98296288e+00,3.00025477e+06,6.00614451e+02,1.50100111e-01,2.50166851e-01,6.00400443e-01,0.00000000e+00
4.10410410e+00,5.79774897e+00,1.44265198e+00,2.98694800e+06,5.98459066e+02,1.49867710e-01,2.49779516e-01,5.99470839e-01,0.00000000e+00
4.20420420e+00,5.79778756e+00,2.78122040e-01,2.99842858e+06,6.00099292e+02,1.50031538e-01,2.50052564e-01,6.00126153e-01,0.00000000e+00
4.30430430e+00,5.80051466e+00,2.74470748e-01,2.99497554e+06,5.99436416e+02,1.49953944e-01,2.49923241e-01,5.99815778e-01,0.00000000e+00
4.40440440e+00,5.80089844e+00,3.28208525e-01,3.00461901e+06,6.00790361e+02,1.50087823e-01,2.50146372e-01,6.00351293e-01,0.00000000e+00
4.50450450e+00,5.79138184e+00,1.68223959e+00,2.99291433e+06,5.99708414e+02,1.50018980e-01,2.50031634e-01,6.00075922e-01,0.00000000e+00
4.60460460e+00,5.77877671e+00,2.65601653e+00,2.98477863e+06,5.99326531e+02,1.50033063e-01,2.50055105e-01,6.00132251e-01,0.00000000e+00
4.70470470e+00,5.77691990e+00,4.13870710e+00,2.98315927e+06,5.99209840e+02,1.50029073e-01,2.50048454e-01,6.00116290e-01,0.00000000e+00
4.80480480e+00,5.77747369e+00,4.38879993e+00,2.98033388e+06,5.98770031e+02,1.49982695e-01,2.49971159e-01,5.99930782e-01,0.00000000e+00
4.90490490e+00,5.77752489e+00,3.81166910e+00,2.97622341e+06,5.98176701e+02,1.49923073e-01,2.49871789e-01,5.99692293e-01,0.00000000e+00
5.00500501e+00,5.77881746e+00,3.73936121e+00,2.98353577e+06,5.99145934e+02,1.50014736e-01,2.50024560e-01,6.00058944e-01,0.00000000e+00
5.10510511e+00,5.77951741e+00,4.08279716e+00,2.97868037e+06,5.98405736e+02,1.49937700e-01,2.49896167e-01,5.99750801e-01,0.00000000e+00
5.20520521e+00,5.77731443e+00,4.62147665e+00,2.98142554e+06,5.98936760e+02,1.50000000e-01,2.50000000e-01,6.00000000e-01,0.00000000e+00
5.30530531e+00,5.77322214e+00,4.85232216e+00,2.97148295e+06,5.97763252e+02,1.49899446e-01,2.49832410e-01,5.99597783e-01,0.00000000e+00
5.40540541e+00,5.77069882e+00,5.23194036e+00,2.97715548e+06,5.98735530e+02,1.50007282e-01,2.50012137e-01,6.00029128e-01,0.00000000e+00
5.50550551e+00,5.76962594e+00,5.71658866e+00,2.96980400e+06,5.97745504e+02,1.49912580e-01,2.49854300e-01,5.99650319e-01,0.00000000e+00
5.60560561e+00,5.76368678e+00,6.42138295e+00,2.97158722e+06,5.98371799e+02,1.50000000e-01,2.50000000e-01,6.00000000e-01,0.00000000e+00
5.70570571e+00,5.75115168e+00,7.60472485e+00,2.95679502e+06,5.97021866e+02,1.49916842e-01,2.49861403e-01,5.99667367e-01,0.00000000e+00
5.80580581e+00,5.74309779e+00,8.58943456e+00,2.95897575e+06,5.97838949e+02,1.50032468e-01,2.50054114e-01,6.00129874e-01,0.00000000e+00
5.90590591e+00,5.73720502e+00,9.30117303e+00,2.94782460e+06,5.96595919e+02,1.49932318e-01,2.49887197e-01,5.99729274e-01,0.00000000e+00
6.00600601e+00,5.73089833e+00,9.88366983e+00,2.95057074e+06,5.97386897e+02,1.50038219e-01,2.50063698e-01,6.00152876e-01,0.00000000e+00
6.10610611e+00,5.72310584e+00,1.09510358e+01,2.93956189e+06,5.96280551e+02,1.49959662e-01,2.49932769e-01,5.99838647e-01,0.00000000e+00
6.20620621e+00,5.71668385e+00,1.22835854e+01,2.94090390e+06,5.96876990e+02,1.50046575e-01,2.50077626e-01,6.00186301e-01,0.00000000e+00
6.30630631e+00,5.70944160e+00,1.37836065e+01,2.92974879e+06,5.95711798e+02,1.49959787e-01,2.49932978e-01,5.99839147e-01,0.00000000e+00
6.40640641e+00,5.70028239e+00,1.53079391e+01,2.92807051e+06,5.96041852e+02,1.50031576e-01,2.50052626e-01,6.00126303e-01,0.00000000e+00
6.50650651e+00,5.69028527e+00,1.66803465e+01,2.91565718e+06,5.94862253e+02,1.49954766e-01,2.49924610e-01,5.99819064e-01,0.00000000e+00
6.60660661e+00,5.68049154e+00,1.78443143e+01,2.91343033e+06,5.95152937e+02,1.50025266e-01,2.50042109e-01,6.00101062e-01,0.00000000e+00
6.70670671e+00,5.67298518e+00,1.91499171e+01,2.90226124e+06,5.93993256e+02,1.49940034e-01,2.49900056e-01,5.99760134e-01,0.00000000e+00
6.80680681e+00,5.66434857e+00,2.01404799e+01,2.90014432e+06,5.94227363e+02,1.50000000e-01,2.50000000e-01,6.00000000e-01,0.00000000e+00
6.90690691e+00,5.65612835e+00,2.15254921e+01,2.89215904e+06,5.93575542e+02,1.49968892e-01,2.49948154e-01,5.99875569e-01,0.00000000e+00
7.00700701e+00,5.65116407e+00,2.26677572e+01,2.88926191e+06,5.93463017e+02,1.49978706e-01,2.49964510e-01,5.99914823e-01,0.00000000e+00
7.10710711e+00,5.64504418e+00,2.38193351e+01,2.88555450e+06,5.93304305e+02,1.49988756e-01,2.49981260e-01,5.99955024e-01,0.00000000e+00
7.20720721e+00,5.63678097e+00,2.49805432e+01,2.88008373e+06,5.93021227e+02,1.49995414e-01,2.49992356e-01,5.99981656e-01,0.00000000e+00
7.30730731e+00,5.62504037e+00,2.64336977e+01,2.87257670e+06,5.92657081e+02,1.50008814e-01,2.50014690e-01,6.00035256e-01,0.00000000e+00
7.40740741e+00,5.61302392e+00,2.79369570e+01,2.86448407e+06,5.92222865e+02,1.50016357e-01,2.50027261e-01,6.00065427e-01,0.00000000e+00
7.50750751e+00,5.60276469e+00,2.93179872e+01,2.85658087e+06,5.91704182e+02,1.50007774e-01,2.50012957e-01,6.00031096e-01,0.00000000e+00
7.60760761e+00,5.59411416e+00,3.08259221e+01,2.85177675e+06,5.91541204e+02,1.50028395e-01,2.50047325e-01,6.00113580e-01,0.00000000e+00
7.70770771e+00,5.58599199e+00,3.22243619e+01,2.84505640e+06,5.91060241e+02,1.50014449e-01,2.50024082e-01,6.00057797e-01,0.00000000e+00
7.80780781e+00,5.57683372e+00,3.34515800e+01,2.83896978e+06,5.90738033e+02,1.50021121e-01,2.50035202e-01,6.00084486e-01,0.00000000e+00
7.90790791e+00,5.56646075e+00,3.49190621e+01,2.83182640e+06,5.90334890e+02,1.50024880e-01,2.50041467e-01,6.00099522e-01,0.00000000e+00
8.00800801e+00,5.55654353e+00,3.65418153e+01,2.82468610e+06,5.89901892e+02,1.50023727e-01,2.50039544e-01,6.00094907e-01,0.00000000e+00
8.10810811e+00,5.54731979e+00,3.80999214e+01,2.81765342e+06,5.89439636e+02,1.50016594e-01,2.50027656e-01,6.00066374e-01,0.00000000e+00
8.20820821e+00,5.53682557e+00,3.95557702e+01,2.81002550e+06,5.88968489e+02,1.50013942e-01,2.50023237e-01,6.00055770e-01,0.00000000e+00
8.30830831e+00,5.52558969e+00,4.11076509e+01,2.80231146e+06,5.88530714e+02,1.50017839e-01,2.50029731e-01,6.00071355e-01,0.00000000e+00
8.40840841e+00,5.51514533e+00,4.28053001e+01,2.79417181e+06,5.87976855e+02,1.50006535e-01,2.50010892e-01,6.00026142e-01,0.00000000e+00
8.50850851e+00,5.50456234e+00,4.46853982e+01,2.78742290e+06,5.87639078e+02,1.50018102e-01,2.50030170e-01,6.00072408e-01,0.00000000e+00
8.60860861e+00,5.49376595e+00,4.64789511e+01,2.77772914e+06,5.86870027e+02,1.49986468e-01,2.49977447e-01,5.99945873e-01,0.00000000e+00
8.70870871e+00,5.48259680e+00,4.80845120e+01,2.77114662e+06,5.86592690e+02,1.50006755e-01,2.50011258e-01,6.00027019e-01,0.00000000e+00
8.80880881e+00,5.47239817e+00,4.96752532e+01,2.76275145e+06,5.85977098e+02,1.49988427e-01,2.49980711e-01,5.99953707e-01,0.00000000e+00
8.90890891e+00,5.46302087e+00,5.10526924e+01,2.75749958e+06,5.85783102e+02,1.50009935e-01,2.50016558e-01,6.00039738e-01,0.00000000e+00
9.00900901e+00,5.45493799e+00,5.22721247e+01,2.75007740e+06,5.85175511e+02,1.49983409e-01,2.49972349e-01,5.99933637e-01,0.00000000e+00
9.10910911e+00,5.44586097e+00,5.32670369e+01,2.74520254e+06,5.85018624e+02,1.50007308e-01,2.50012179e-01,6.00029230e-01,0.00000000e+00
