# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,8.41832737e+00,2.21830118e-02,1.86890087e+07,2.78660552e+03,1.18501936e-01,6.70998079e-07,6.00009375e-01,2.81488018e-01
1.00100100e-01,8.41832737e+00,-2.21830118e-02,1.86890087e+07,2.78660552e+03,1.18501936e-01,6.70998079e-07,6.00009375e-01,2.81488018e-01
2.00200200e-01,8.41988046e+00,-8.94703519e-02,1.86891571e+07,2.78611376e+03,1.18501919e-01,5.38802236e-07,6.00009375e-01,2.81488167e-01
3.00300300e-01,8.42423539e+00,-1.57499599e-01,1.86891329e+07,2.78466984e+03,1.18501922e-01,5.62012631e-07,6.00009375e-01,2.81488140e-01
4.00400400e-01,8.43247737e+00,-2.28467070e-01,1.86891364e+07,2.78194861e+03,1.18501922e-01,5.62262004e-07,6.00009375e-01,2.81488140e-01
5.00500501e-01,8.44511770e+00,-3.02645261e-01,1.86891516e+07,2.77778695e+03,1.18501922e-01,5.62232498e-07,6.00009375e-01,2.81488140e-01
6.00600601e-01,8.45941318e+00,-3.80449125e-01,1.86892064e+07,2.77310093e+03,1.18501922e-01,5.62205201e-07,6.00009375e-01,2.81488140e-01
7.00700701e-01,8.47125918e+00,-4.65338396e-01,1.86893849e+07,2.76924953e+03,1.18501922e-01,5.62182823e-07,6.00009375e-01,2.81488140e-01
8.00800801e-01,8.47976345e+00,-5.54515149e-01,1.86896692e+07,2.76651438e+03,1.18501922e-01,5.62167210e-07,6.00009375e-01,2.81488140e-01
9.00900901e-01,8.48568838e+00,-6.44810668e-01,1.86900090e+07,2.76463298e+03,1.18501922e-01,5.62157914e-07,6.00009375e-01,2.81488140e-01
1.00100100e+00,8.48971479e+00,-7.30482442e-01,1.86903475e+07,2.76337185e+03,1.18501922e-01,5.62153994e-07,6.00009375e-01,2.81488140e-01
1.10110110e+00,8.49242513e+00,-8.13713440e-01,1.86907009e+07,2.76254216e+03,1.18501922e-01,5.62153650e-07,6.00009375e-01,2.81488140e-01
1.20120120e+00,8.49424817e+00,-8.96418160e-01,1.86910837e+07,2.76200582e+03,1.18501922e-01,5.62155190e-07,6.00009375e-01,2.81488140e-01
1.30130130e+00,8.49551506e+00,-9.82041648e-01,1.86915273e+07,2.76165948e+03,1.18501922e-01,5.62157382e-07,6.00009375e-01,2.81488140e-01
1.40140140e+00,8.49647296e+00,-1.07764564e+00,1.86921186e+07,2.76143548e+03,1.18501922e-01,5.62159438e-07,6.00009375e-01,2.81488140e-01
1.50150150e+00,8.49719878e+00,-1.17431384e+00,1.86927177e+07,2.76128811e+03,1.18501922e-01,5.62161088e-07,6.00009375e-01,2.81488140e-01
1.60160160e+00,8.49772132e+00,-1.25945978e+00,1.86931188e+07,2.76117755e+03,1.18501922e-01,5.62162203e-07,6.00009375e-01,2.81488140e-01
1.70170170e+00,8.49807863e+00,-1.33037465e+00,1.86932793e+07,2.76108517e+03,1.18501922e-01,5.62162775e-07,6.00009375e-01,2.81488140e-01
1.80180180e+00,8.49821162e+00,-1.38474447e+00,1.86930863e+07,2.76101346e+03,1.18501922e-01,5.62162774e-07,6.00009375e-01,2.81488140e-01
1.90190190e+00,8.49817016e+00,-1.40773562e+00,1.86925389e+07,2.76094608e+03,1.18501922e-01,5.62162165e-07,6.00009375e-01,2.81488140e-01
2.00200200e+00,8.49804225e+00,-1.40928344e+00,1.86917405e+07,2.76086970e+03,1.18501922e-01,5.62160929e-07,6.00009375e-01,2.81488140e-01
2.10210210e+00,8.49779892e+00,-1.39136204e+00,1.86906475e+07,2.76078731e+03,1.18501922e-01,5.62159004e-07,6.00009375e-01,2.81488140e-01
2.20220220e+00,8.49754759e+00,-1.37383214e+00,1.86895756e+07,2.76071063e+03,1.18501922e-01,5.62156406e-07,6.00009375e-01,2.81488140e-01
2.30230230e+00,8.49737457e+00,-1.37992878e+00,1.86887667e+07,2.76064735e+03,1.18501922e-01,5.62153067e-07,6.00009375e-01,2.81488140e-01
