# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,8.38947897e+00,6.42100727e-03,1.86607830e+07,2.79196463e+03,1.18501936e-01,6.70741372e-07,6.00009375e-01,2.81488018e-01
1.00100100e-01,8.38947897e+00,-6.42100727e-03,1.86607830e+07,2.79196463e+03,1.18501936e-01,6.70741372e-07,6.00009375e-01,2.81488018e-01
2.00200200e-01,8.39296602e+00,-2.52705515e-02,1.86607716e+07,2.79080305e+03,1.18501919e-01,5.38326228e-07,6.00009375e-01,2.81488167e-01
3.00300300e-01,8.40297685e+00,-4.21105167e-02,1.86607243e+07,2.78747116e+03,1.18501922e-01,5.61622981e-07,6.00009375e-01,2.81488141e-01
4.00400400e-01,8.42133563e+00,-5.87234830e-02,1.86607026e+07,2.78139115e+03,1.18501922e-01,5.61899236e-07,6.00009375e-01,2.81488141e-01
5.00500501e-01,8.44313200e+00,-7.51898291e-02,1.86607137e+07,2.77421249e+03,1.18501922e-01,5.61900044e-07,6.00009375e-01,2.81488141e-01
6.00600601e-01,8.46037582e+00,-9.43808043e-02,1.86607781e+07,2.76856770e+03,1.18501922e-01,5.61902606e-07,6.00009375e-01,2.81488141e-01
7.00700701e-01,8.47142478e+00,-1.14856152e-01,1.86608680e+07,2.76497007e+03,1.18501922e-01,5.61906796e-07,6.00009375e-01,2.81488141e-01
8.00800801e-01,8.47813431e+00,-1.38768811e-01,1.86610043e+07,2.76280208e+03,1.18501922e-01,5.61911315e-07,6.00009375e-01,2.81488141e-01
9.00900901e-01,8.48203427e+00,-1.65573856e-01,1.86611704e+07,2.76155635e+03,1.18501922e-01,5.61915755e-07,6.00009375e-01,2.81488141e-01
1.00100100e+00,8.48420126e+00,-1.88324411e-01,1.86612468e+07,2.76086231e+03,1.18501922e-01,5.61919842e-07,6.00009375e-01,2.81488141e-01
1.10110110e+00,8.48536227e+00,-2.08744850e-01,1.86612054e+07,2.76047843e+03,1.18501922e-01,5.61923643e-07,6.00009375e-01,2.81488141e-01
1.20120120e+00,8.48601090e+00,-2.29516163e-01,1.86611511e+07,2.76025939e+03,1.18501922e-01,5.61927034e-07,6.00009375e-01,2.81488141e-01
1.30130130e+00,8.48647846e+00,-2.57648327e-01,1.86612163e+07,2.76011696e+03,1.18501922e-01,5.61930132e-07,6.00009375e-01,2.81488141e-01
1.40140140e+00,8.48689555e+00,-2.98655401e-01,1.86614553e+07,2.76001667e+03,1.18501922e-01,5.61932910e-07,6.00009375e-01,2.81488141e-01
1.50150150e+00,8.48721620e+00,-3.32996365e-01,1.86616042e+07,2.75993441e+03,1.18501922e-01,5.61935496e-07,6.00009375e-01,2.81488141e-01
1.60160160e+00,8.48748686e+00,-3.60730635e-01,1.86616894e+07,2.75985900e+03,1.18501922e-01,5.61937846e-07,6.00009375e-01,2.81488141e-01
