# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,8.41721509e+00,2.56923525e-02,1.86858905e+07,2.78650875e+03,1.18501936e-01,6.70648741e-07,6.00009375e-01,2.81488018e-01
1.00100100e-01,8.41721509e+00,-2.56923525e-02,1.86858905e+07,2.78650875e+03,1.18501936e-01,6.70648741e-07,6.00009375e-01,2.81488018e-01
2.00200200e-01,8.41876783e+00,-1.02670793e-01,1.86860168e+07,2.78601377e+03,1.18501919e-01,5.38370932e-07,6.00009375e-01,2.81488167e-01
3.00300300e-01,8.42312990e+00,-1.75984569e-01,1.86859412e+07,2.78455969e+03,1.18501922e-01,5.61623711e-07,6.00009375e-01,2.81488141e-01
4.00400400e-01,8.43138898e+00,-2.49291715e-01,1.86858590e+07,2.78181981e+03,1.18501922e-01,5.61899239e-07,6.00009375e-01,2.81488141e-01
5.00500501e-01,8.44410233e+00,-3.18609316e-01,1.86858315e+07,2.77762745e+03,1.18501922e-01,5.61900055e-07,6.00009375e-01,2.81488141e-01
6.00600601e-01,8.45844188e+00,-3.86553379e-01,1.86858488e+07,2.77292111e+03,1.18501922e-01,5.61902630e-07,6.00009375e-01,2.81488141e-01
7.00700701e-01,8.47023139e+00,-4.55269280e-01,1.86859117e+07,2.76907088e+03,1.18501922e-01,5.61906825e-07,6.00009375e-01,2.81488141e-01
8.00800801e-01,8.47865200e+00,-5.27837317e-01,1.86860506e+07,2.76634132e+03,1.18501922e-01,5.61911349e-07,6.00009375e-01,2.81488141e-01
9.00900901e-01,8.48452284e+00,-6.07582714e-01,1.86862884e+07,2.76446234e+03,1.18501922e-01,5.61915790e-07,6.00009375e-01,2.81488141e-01
1.00100100e+00,8.48855341e+00,-6.97003229e-01,1.86866422e+07,2.76320202e+03,1.18501922e-01,5.61919879e-07,6.00009375e-01,2.81488141e-01
1.10110110e+00,8.49125072e+00,-7.86533576e-01,1.86869702e+07,2.76237275e+03,1.18501922e-01,5.61923678e-07,6.00009375e-01,2.81488141e-01
1.20120120e+00,8.49302463e+00,-8.72703529e-01,1.86872036e+07,2.76183028e+03,1.18501922e-01,5.61927071e-07,6.00009375e-01,2.81488141e-01
1.30130130e+00,8.49420243e+00,-9.55921347e-01,1.86873857e+07,2.76147424e+03,1.18501922e-01,5.61930166e-07,6.00009375e-01,2.81488141e-01
1.40140140e+00,8.49501327e+00,-1.03605032e+00,1.86875782e+07,2.76123910e+03,1.18501922e-01,5.61932946e-07,6.00009375e-01,2.81488141e-01
1.50150150e+00,8.49560284e+00,-1.11593515e+00,1.86878234e+07,2.76108371e+03,1.18501922e-01,5.61935530e-07,6.00009375e-01,2.81488141e-01
1.60160160e+00,8.49608435e+00,-1.19824320e+00,1.86881709e+07,2.76097857e+03,1.18501922e-01,5.61937880e-07,6.00009375e-01,2.81488141e-01
1.70170170e+00,8.49655860e+00,-1.29145128e+00,1.86887396e+07,2.76090846e+03,1.18501922e-01,5.61940010e-07,6.00009375e-01,2.81488141e-01
1.80180180e+00,8.49709955e+00,-1.40794393e+00,1.86896912e+07,2.76087327e+03,1.18501922e-01,5.61941792e-07,6.00009375e-01,2.81488141e-01
1.90190190e+00,8.49777207e+00,-1.55897636e+00,1.86911724e+07,2.76087356e+03,1.18501922e-01,5.61943154e-07,6.00009375e-01,2.81488141e-01
2.00200200e+00,8.49842717e+00,-1.71491438e+00,1.86927335e+07,2.76089132e+03,1.18501922e-01,5.61943971e-07,6.00009375e-01,2.81488141e-01
2.10210210e+00,8.49893754e+00,-1.84725447e+00,1.86939626e+07,2.76090705e+03,1.18501922e-01,5.61944180e-07,6.00009375e-01,2.81488141e-01
2.20220220e+00,8.49933774e+00,-1.95702466e+00,1.86949017e+07,2.76091574e+03,1.18501922e-01,5.61943735e-07,6.00009375e-01,2.81488141e-01
2.30230230e+00,8.49966195e+00,-2.04930916e+00,1.86956456e+07,2.76092029e+03,1.18501922e-01,5.61942602e-07,6.00009375e-01,2.81488141e-01
2.40240240e+00,8.49994860e+00,-2.13003950e+00,1.86963104e+07,2.76092534e+03,1.18501922e-01,5.61940800e-07,6.00009375e-01,2.81488141e-01
