# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,8.67268590e+00,-3.33649787e+00,1.94110673e+07,2.80938227e+03,1.18501935e-01,6.65674464e-07,6.00009375e-01,2.81488024e-01
1.00100100e-01,8.67268590e+00,3.33649787e+00,1.94110673e+07,2.80938227e+03,1.18501935e-01,6.65674464e-07,6.00009375e-01,2.81488024e-01
2.00200200e-01,8.66673326e+00,1.34527302e+01,1.93902593e+07,2.80829834e+03,1.18501920e-01,5.43833685e-07,6.00009375e-01,2.81488161e-01
3.00300300e-01,8.66628748e+00,2.23205094e+01,1.93834031e+07,2.80744974e+03,1.18501922e-01,5.61138533e-07,6.00009375e-01,2.81488141e-01
4.00400400e-01,8.66380182e+00,3.04425723e+01,1.93677447e+07,2.80598662e+03,1.18501922e-01,5.62205518e-07,6.00009375e-01,2.81488140e-01
5.00500501e-01,8.65969578e+00,3.76137006e+01,1.93421442e+07,2.80360635e+03,1.18501922e-01,5.62226830e-07,6.00009375e-01,2.81488140e-01
6.00600601e-01,8.65446023e+00,4.38891170e+01,1.93072660e+07,2.80024381e+03,1.18501922e-01,5.62202059e-07,6.00009375e-01,2.81488140e-01
7.00700701e-01,8.64799376e+00,4.93534261e+01,1.92639449e+07,2.79604987e+03,1.18501922e-01,5.62180959e-07,6.00009375e-01,2.81488140e-01
8.00800801e-01,8.63982369e+00,5.40841512e+01,1.92132066e+07,2.79132256e+03,1.18501922e-01,5.62166411e-07,6.00009375e-01,2.81488140e-01
9.00900901e-01,8.62930425e+00,5.81663230e+01,1.91561176e+07,2.78642121e+03,1.18501922e-01,5.62157998e-07,6.00009375e-01,2.81488140e-01
1.00100100e+00,8.61562398e+00,6.16633976e+01,1.90931132e+07,2.78166653e+03,1.18501922e-01,5.62154546e-07,6.00009375e-01,2.81488140e-01
1.10110110e+00,8.59793577e+00,6.45553968e+01,1.90235250e+07,2.77723002e+03,1.18501922e-01,5.62154331e-07,6.00009375e-01,2.81488140e-01
1.20120120e+00,8.57528372e+00,6.67496464e+01,1.89446532e+07,2.77302136e+03,1.18501922e-01,5.62155823e-07,6.00009375e-01,2.81488140e-01
1.30130130e+00,8.54678174e+00,6.80812956e+01,1.88524166e+07,2.76872274e+03,1.18501922e-01,5.62157857e-07,6.00009375e-01,2.81488140e-01
1.40140140e+00,8.51250485e+00,6.84193284e+01,1.87450406e+07,2.76403835e+03,1.18501922e-01,5.62159770e-07,6.00009375e-01,2.81488140e-01
1.50150150e+00,8.47509776e+00,6.79931955e+01,1.86291417e+07,2.75907294e+03,1.18501922e-01,5.62161261e-07,6.00009375e-01,2.81488140e-01
1.60160160e+00,8.43393691e+00,6.68260870e+01,1.85023385e+07,2.75366642e+03,1.18501922e-01,5.62162229e-07,6.00009375e-01,2.81488140e-01
1.70170170e+00,8.38866763e+00,6.49516550e+01,1.83637804e+07,2.74779391e+03,1.18501922e-01,5.62162647e-07,6.00009375e-01,2.81488140e-01
1.80180180e+00,8.34393663e+00,6.32922948e+01,1.82275549e+07,2.74203170e+03,1.18501922e-01,5.62162490e-07,6.00009375e-01,2.81488140e-01
1.90190190e+00,8.30493298e+00,6.29773531e+01,1.81090981e+07,2.73700596e+03,1.18501922e-01,5.62161743e-07,6.00009375e-01,2.81488140e-01
2.00200200e+00,8.26824286e+00,6.34523678e+01,1.79981514e+07,2.73230847e+03,1.18501922e-01,5.62160376e-07,6.00009375e-01,2.81488140e-01
2.10210210e+00,8.23293107e+00,6.47543870e+01,1.78917798e+07,2.72781001e+03,1.18501922e-01,5.62158376e-07,6.00009375e-01,2.81488140e-01
2.20220220e+00,8.20049938e+00,6.71138996e+01,1.77943023e+07,2.72367771e+03,1.18501922e-01,5.62155725e-07,6.00009375e-01,2.81488140e-01
2.30230230e+00,8.17172266e+00,7.03527418e+01,1.77078811e+07,2.71999453e+03,1.18501922e-01,5.62152420e-07,6.00009375e-01,2.81488140e-01
2.40240240e+00,8.14656654e+00,7.40717442e+01,1.76323723e+07,2.71675949e+03,1.18501922e-01,5.62148463e-07,6.00009375e-01,2.81488140e-01
2.50250250e+00,8.12424248e+00,7.80122914e+01,1.75654418e+07,2.71388384e+03,1.18501922e-01,5.62143848e-07,6.00009375e-01,2.81488140e-01
2.60260260e+00,8.10357580e+00,8.19451844e+01,1.75036018e+07,2.71122636e+03,1.18501922e-01,5.62138592e-07,6.00009375e-01,2.81488140e-01
2.70270270e+00,8.08423930e+00,8.59806285e+01,1.74458619e+07,2.70874625e+03,1.18501922e-01,5.62132684e-07,6.00009375e-01,2.81488140e-01
2.80280280e+00,8.06577524e+00,8.98460670e+01,1.73907998e+07,2.70637823e+03,1.18501922e-01,5.62126161e-07,6.00009375e-01,2.81488140e-01
2.90290290e+00,8.04990808e+00,9.36384068e+01,1.73434570e+07,2.70433071e+03,1.18501922e-01,5.62119024e-07,6.00009375e-01,2.81488140e-01
3.00300300e+00,8.03492687e+00,9.67172263e+01,1.72987041e+07,2.70238172e+03,1.18501922e-01,5.62111344e-07,6.00009375e-01,2.81488140e-01
3.10310310e+00,8.02345762e+00,9.99104194e+01,1.72644367e+07,2.70088381e+03,1.18501922e-01,5.62103143e-07,6.00009375e-01,2.81488140e-01
3.20320320e+00,8.01109613e+00,1.02912598e+02,1.72277110e+07,2.69929710e+03,1.18501922e-01,5.62094522e-07,6.00009375e-01,2.81488140e-01
3.30330330e+00,7.99610534e+00,1.06375261e+02,1.71833903e+07,2.69740030e+03,1.18501922e-01,5.62085518e-07,6.00009375e-01,2.81488140e-01
3.40340340e+00,7.97755144e+00,1.11167355e+02,1.71370264e+07,2.69600852e+03,1.18518198e-01,5.62153451e-07,6.00091784e-01,2.81526802e-01
3.50350350e+00,7.96426379e+00,1.15583904e+02,1.70819696e+07,2.69250188e+03,1.18488647e-01,5.62003785e-07,5.99942159e-01,2.81456607e-01
3.60360360e+00,7.95196270e+00,1.17993002e+02,1.70434719e+07,2.69066420e+03,1.18485358e-01,5.61978561e-07,5.99925503e-01,2.81448793e-01
3.70370370e+00,7.94112801e+00,1.20332219e+02,1.70276510e+07,2.69111850e+03,1.18516870e-01,5.62118264e-07,6.00085057e-01,2.81523646e-01
3.80380380e+00,7.92948684e+00,1.21155715e+02,1.69649880e+07,2.68638627e+03,1.18462383e-01,5.61850031e-07,5.99809174e-01,2.81394218e-01
3.90390390e+00,7.91845954e+00,1.23597056e+02,1.70063518e+07,2.69346242e+03,1.18604177e-01,5.62512645e-07,6.00527120e-01,2.81731035e-01
4.00400400e+00,7.91138055e+00,1.28652430e+02,1.69430060e+07,2.68768867e+03,1.18522193e-01,5.62113903e-07,6.00112009e-01,2.81536290e-01
4.10410410e+00,7.89772192e+00,1.33145430e+02,1.69017497e+07,2.68581554e+03,1.18520669e-01,5.62096707e-07,6.00104293e-01,2.81532670e-01
4.20420420e+00,7.86803939e+00,1.38550422e+02,1.68077937e+07,2.68123071e+03,1.18508758e-01,5.62030243e-07,6.00043984e-01,2.81504377e-01
4.30430430e+00,7.83623076e+00,1.42303644e+02,1.67409197e+07,2.68021157e+03,1.18561441e-01,5.62270090e-07,6.00310733e-01,2.81629519e-01
4.40440440e+00,7.82085674e+00,1.45362159e+02,1.66490779e+07,2.67279438e+03,1.18470645e-01,5.61829505e-07,5.99851008e-01,2.81413844e-01
4.50450450e+00,7.81292945e+00,1.46455863e+02,1.66431336e+07,2.67378162e+03,1.18504737e-01,5.61981142e-07,6.00023627e-01,2.81494827e-01
4.60460460e+00,7.81131013e+00,1.49918377e+02,1.66541286e+07,2.67541922e+03,1.18535010e-01,5.62114598e-07,6.00176906e-01,2.81566736e-01
4.70470470e+00,7.80818678e+00,1.51860389e+02,1.66212275e+07,2.67225955e+03,1.18488094e-01,5.61881902e-07,5.99939357e-01,2.81455292e-01
4.80480480e+00,7.79694161e+00,1.53578987e+02,1.66080044e+07,2.67308895e+03,1.18527796e-01,5.62059851e-07,6.00140379e-01,2.81549600e-01
4.90490490e+00,7.78055875e+00,1.56632634e+02,1.65513815e+07,2.66994643e+03,1.18511737e-01,5.61973227e-07,6.00059072e-01,2.81511455e-01
5.00500501e+00,7.77178690e+00,1.60395130e+02,1.65373355e+07,2.67018021e+03,1.18534434e-01,5.62070222e-07,6.00173991e-01,2.81565368e-01
5.10510511e+00,7.76416828e+00,1.62762806e+02,1.64997727e+07,2.66742191e+03,1.18503658e-01,5.61913453e-07,6.00018162e-01,2.81492263e-01
5.20520521e+00,7.75238365e+00,1.63103833e+02,1.64607529e+07,2.66535835e+03,1.18494797e-01,5.61860401e-07,5.99973295e-01,2.81471214e-01
