# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,4.04498035e+00,-2.35899013e-02,8.53398412e+06,2.64819806e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e-01,4.04498035e+00,2.35899013e-02,8.53398412e+06,2.64819806e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.00200200e-01,4.04497579e+00,1.47776637e-01,8.53396873e+06,2.64819628e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.00300300e-01,4.04498512e+00,2.85682432e-01,8.53301012e+06,2.64797625e+03,1.18498186e-01,5.83321408e-07,5.99990444e-01,2.81479235e-01
4.00400400e-01,4.04528532e+00,5.52585531e-01,8.53576044e+06,2.64847133e+03,1.18505427e-01,5.83357051e-07,6.00027106e-01,2.81496434e-01
5.00500501e-01,4.04602327e+00,6.49227089e-01,8.53604478e+06,2.64823407e+03,1.18498375e-01,5.83322338e-07,5.99991401e-01,2.81479684e-01
6.00600601e-01,4.04684032e+00,6.54964380e-01,8.54025623e+06,2.64884711e+03,1.18505470e-01,5.83357261e-07,6.00027322e-01,2.81496536e-01
7.00700701e-01,4.04847303e+00,6.70348987e-01,8.54535556e+06,2.64932827e+03,1.18506881e-01,5.83364211e-07,6.00034470e-01,2.81499890e-01
8.00800801e-01,4.05065309e+00,5.17067603e-01,8.54941905e+06,2.64935427e+03,1.18498260e-01,5.83321771e-07,5.99990818e-01,2.81479411e-01
9.00900901e-01,4.05219850e+00,5.04578157e-01,8.55485005e+06,2.64994427e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e+00,4.05241733e+00,2.24415939e-01,8.55546619e+06,2.64999201e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
