# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,8.44396307e+00,-9.07883390e-02,1.87182571e+07,2.78249326e+03,1.18501936e-01,6.70405560e-07,6.00009375e-01,2.81488018e-01
1.00100100e-01,8.44396307e+00,9.07883390e-02,1.87182571e+07,2.78249326e+03,1.18501936e-01,6.70405560e-07,6.00009375e-01,2.81488018e-01
2.00200200e-01,8.44461767e+00,3.58645374e-01,1.87184720e+07,2.78230963e+03,1.18501919e-01,5.38255304e-07,6.00009375e-01,2.81488167e-01
3.00300300e-01,8.44677687e+00,5.81263418e-01,1.87196910e+07,2.78177953e+03,1.18501922e-01,5.60529742e-07,6.00009375e-01,2.81488142e-01
4.00400400e-01,8.45085376e+00,7.93806592e-01,1.87214754e+07,2.78070257e+03,1.18501922e-01,5.60700482e-07,6.00009375e-01,2.81488142e-01
5.00500501e-01,8.45710504e+00,9.72628974e-01,1.87234415e+07,2.77893896e+03,1.18501922e-01,5.60692907e-07,6.00009375e-01,2.81488142e-01
6.00600601e-01,8.46556128e+00,1.09376082e+00,1.87253058e+07,2.77643950e+03,1.18501922e-01,5.60687743e-07,6.00009375e-01,2.81488142e-01
7.00700701e-01,8.47539926e+00,1.16128823e+00,1.87271196e+07,2.77348532e+03,1.18501922e-01,5.60682472e-07,6.00009375e-01,2.81488142e-01
8.00800801e-01,8.48444174e+00,1.18266448e+00,1.87288899e+07,2.77079131e+03,1.18501922e-01,5.60677224e-07,6.00009375e-01,2.81488142e-01
9.00900901e-01,8.49167130e+00,1.15508776e+00,1.87308467e+07,2.76872160e+03,1.18501922e-01,5.60671860e-07,6.00009375e-01,2.81488142e-01
1.00100100e+00,8.49770555e+00,1.02850297e+00,1.87339869e+07,2.76721936e+03,1.18501922e-01,5.60666510e-07,6.00009375e-01,2.81488142e-01
1.10110110e+00,8.50286838e+00,7.95809041e-01,1.87384253e+07,2.76619435e+03,1.18501922e-01,5.60661025e-07,6.00009375e-01,2.81488142e-01
1.20120120e+00,8.50779209e+00,4.20140798e-01,1.87447115e+07,2.76552090e+03,1.18501922e-01,5.60655513e-07,6.00009375e-01,2.81488142e-01
1.30130130e+00,8.51312928e+00,-1.88431555e-01,1.87541823e+07,2.76518351e+03,1.18501922e-01,5.60649844e-07,6.00009375e-01,2.81488142e-01
1.40140140e+00,8.51923847e+00,-1.08959134e+00,1.87677335e+07,2.76519718e+03,1.18501922e-01,5.60644128e-07,6.00009375e-01,2.81488142e-01
1.50150150e+00,8.52675289e+00,-2.38734288e+00,1.87869257e+07,2.76558553e+03,1.18501922e-01,5.60638239e-07,6.00009375e-01,2.81488142e-01
1.60160160e+00,8.53644244e+00,-4.21303190e+00,1.88137427e+07,2.76638956e+03,1.18501922e-01,5.60632260e-07,6.00009375e-01,2.81488142e-01
1.70170170e+00,8.54918996e+00,-6.72538203e+00,1.88506064e+07,2.76767704e+03,1.18501922e-01,5.60626058e-07,6.00009375e-01,2.81488142e-01
1.80180180e+00,8.56594462e+00,-1.00986006e+01,1.89002097e+07,2.76953217e+03,1.18501922e-01,5.60619702e-07,6.00009375e-01,2.81488142e-01
1.90190190e+00,8.58727119e+00,-1.44296850e+01,1.89641371e+07,2.77199832e+03,1.18501922e-01,5.60613073e-07,6.00009375e-01,2.81488142e-01
2.00200200e+00,8.60792030e+00,-1.86432279e+01,1.90264361e+07,2.77443314e+03,1.18501922e-01,5.60606234e-07,6.00009375e-01,2.81488142e-01
2.10210210e+00,8.62528257e+00,-2.22209086e+01,1.90790556e+07,2.77650587e+03,1.18501922e-01,5.60599088e-07,6.00009375e-01,2.81488142e-01
2.20220220e+00,8.63942043e+00,-2.51225494e+01,1.91219506e+07,2.77819443e+03,1.18501922e-01,5.60591681e-07,6.00009375e-01,2.81488142e-01
2.30230230e+00,8.65027561e+00,-2.74185729e+01,1.91548663e+07,2.77948436e+03,1.18501922e-01,5.60583943e-07,6.00009375e-01,2.81488142e-01
2.40240240e+00,8.65854025e+00,-2.90887713e+01,1.91798861e+07,2.78045837e+03,1.18501922e-01,5.60575904e-07,6.00009375e-01,2.81488142e-01
2.50250250e+00,8.66397453e+00,-3.03377673e+01,1.91962760e+07,2.78108890e+03,1.18501922e-01,5.60567532e-07,6.00009375e-01,2.81488142e-01
2.60260260e+00,8.66788778e+00,-3.10756603e+01,1.92080440e+07,2.78153747e+03,1.18501922e-01,5.60558842e-07,6.00009375e-01,2.81488142e-01
2.70270270e+00,8.66964613e+00,-3.16101247e+01,1.92132408e+07,2.78172573e+03,1.18501922e-01,5.60549844e-07,6.00009375e-01,2.81488142e-01
2.80280280e+00,8.67084562e+00,-3.17957755e+01,1.92167335e+07,2.78184653e+03,1.18501922e-01,5.60540543e-07,6.00009375e-01,2.81488142e-01
2.90290290e+00,8.67087588e+00,-3.19237223e+01,1.92166923e+07,2.78183086e+03,1.18501922e-01,5.60530987e-07,6.00009375e-01,2.81488142e-01
3.00300300e+00,8.67062955e+00,-3.19233278e+01,1.92158456e+07,2.78178732e+03,1.18501922e-01,5.60521170e-07,6.00009375e-01,2.81488142e-01
3.10310310e+00,8.66953825e+00,-3.17411476e+01,1.92124130e+07,2.78164049e+03,1.18501922e-01,5.60511171e-07,6.00009375e-01,2.81488142e-01
3.20320320e+00,8.66691243e+00,-3.12570237e+01,1.92042870e+07,2.78130638e+03,1.18501922e-01,5.60500970e-07,6.00009375e-01,2.81488142e-01
3.30330330e+00,8.66203568e+00,-3.03365389e+01,1.91892886e+07,2.78069887e+03,1.18501922e-01,5.60490664e-07,6.00009375e-01,2.81488142e-01
3.40340340e+00,8.65453745e+00,-2.88910014e+01,1.91662928e+07,2.77977285e+03,1.18501922e-01,5.60480212e-07,6.00009375e-01,2.81488142e-01
3.50350350e+00,8.64407799e+00,-2.68405890e+01,1.91342635e+07,2.77848546e+03,1.18501922e-01,5.60469713e-07,6.00009375e-01,2.81488142e-01
3.60360360e+00,8.63068207e+00,-2.41926291e+01,1.90932883e+07,2.77683878e+03,1.18501922e-01,5.60459098e-07,6.00009375e-01,2.81488142e-01
3.70370370e+00,8.61441118e+00,-2.09652648e+01,1.90435711e+07,2.77483936e+03,1.18501922e-01,5.60448461e-07,6.00009375e-01,2.81488142e-01
3.80380380e+00,8.59560850e+00,-1.72267293e+01,1.89861753e+07,2.77252782e+03,1.18501922e-01,5.60437709e-07,6.00009375e-01,2.81488142e-01
3.90390390e+00,8.57457199e+00,-1.30296807e+01,1.89220261e+07,2.76993922e+03,1.18501922e-01,5.60426930e-07,6.00009375e-01,2.81488142e-01
4.00400400e+00,8.55182548e+00,-8.47355006e+00,1.88527342e+07,2.76713641e+03,1.18501922e-01,5.60416010e-07,6.00009375e-01,2.81488142e-01
4.10410410e+00,8.52765392e+00,-3.61286143e+00,1.87791591e+07,2.76415014e+03,1.18501922e-01,5.60405030e-07,6.00009375e-01,2.81488142e-01
4.20420420e+00,8.50281122e+00,1.39910223e+00,1.87036128e+07,2.76107383e+03,1.18501922e-01,5.60393854e-07,6.00009375e-01,2.81488142e-01
4.30430430e+00,8.47829364e+00,6.34947168e+00,1.86291632e+07,2.75803611e+03,1.18501922e-01,5.60382544e-07,6.00009375e-01,2.81488142e-01
4.40440440e+00,8.45420912e+00,1.12344657e+01,1.85561255e+07,2.75504926e+03,1.18501922e-01,5.60370988e-07,6.00009375e-01,2.81488142e-01
4.50450450e+00,8.43046957e+00,1.60570048e+01,1.84842117e+07,2.75210008e+03,1.18501922e-01,5.60359254e-07,6.00009375e-01,2.81488142e-01
4.60460460e+00,8.40705932e+00,2.08305515e+01,1.84133731e+07,2.74918709e+03,1.18501922e-01,5.60347209e-07,6.00009375e-01,2.81488142e-01
4.70470470e+00,8.38392873e+00,2.55584830e+01,1.83434562e+07,2.74630422e+03,1.18501922e-01,5.60334916e-07,6.00009375e-01,2.81488142e-01
4.80480480e+00,8.36106794e+00,3.02496508e+01,1.82744285e+07,2.74345035e+03,1.18501922e-01,5.60322248e-07,6.00009375e-01,2.81488142e-01
4.90490490e+00,8.33839362e+00,3.48954835e+01,1.82060363e+07,2.74061522e+03,1.18501922e-01,5.60309256e-07,6.00009375e-01,2.81488142e-01
5.00500501e+00,8.31601410e+00,3.95253063e+01,1.81386041e+07,2.73781247e+03,1.18501922e-01,5.60295829e-07,6.00009375e-01,2.81488142e-01
5.10510511e+00,8.29371702e+00,4.41000392e+01,1.80714901e+07,2.73501558e+03,1.18501922e-01,5.60282005e-07,6.00009375e-01,2.81488142e-01
5.20520521e+00,8.27171974e+00,4.86685557e+01,1.80053463e+07,2.73225180e+03,1.18501922e-01,5.60267703e-07,6.00009375e-01,2.81488142e-01
5.30530531e+00,8.24981636e+00,5.31900619e+01,1.79395512e+07,2.72949526e+03,1.18501922e-01,5.60252949e-07,6.00009375e-01,2.81488142e-01
5.40540541e+00,8.22812523e+00,5.76903721e+01,1.78744583e+07,2.72676085e+03,1.18501922e-01,5.60237704e-07,6.00009375e-01,2.81488142e-01
5.50550551e+00,8.20660481e+00,6.21610451e+01,1.78099417e+07,2.72404346e+03,1.18501922e-01,5.60221994e-07,6.00009375e-01,2.81488142e-01
5.60560561e+00,8.18524692e+00,6.65999440e+01,1.77459768e+07,2.72134233e+03,1.18501922e-01,5.60205829e-07,6.00009375e-01,2.81488142e-01
5.70570571e+00,8.16405068e+00,7.10058147e+01,1.76825618e+07,2.71865780e+03,1.18501922e-01,5.60189238e-07,6.00009375e-01,2.81488143e-01
5.80580581e+00,8.14306345e+00,7.53867235e+01,1.76198389e+07,2.71599626e+03,1.18501922e-01,5.60172286e-07,6.00009375e-01,2.81488143e-01
5.90590591e+00,8.12221469e+00,7.97245029e+01,1.75575959e+07,2.71334888e+03,1.18501922e-01,5.60155000e-07,6.00009375e-01,2.81488143e-01
6.00600601e+00,8.10159548e+00,8.40336338e+01,1.74961002e+07,2.71072684e+03,1.18501922e-01,5.60137489e-07,6.00009375e-01,2.81488143e-01
6.10610611e+00,8.08115033e+00,8.82957726e+01,1.74351781e+07,2.70812219e+03,1.18501922e-01,5.60119769e-07,6.00009375e-01,2.81488143e-01
6.20620621e+00,8.06098305e+00,9.25248303e+01,1.73751293e+07,2.70554705e+03,1.18501922e-01,5.60101968e-07,6.00009375e-01,2.81488143e-01
6.30630631e+00,8.04102329e+00,9.66961443e+01,1.73157374e+07,2.70299177e+03,1.18501922e-01,5.60084079e-07,6.00009375e-01,2.81488143e-01
6.40640641e+00,8.02137695e+00,1.00821472e+02,1.72573169e+07,2.70047028e+03,1.18501922e-01,5.60066223e-07,6.00009375e-01,2.81488143e-01
6.50650651e+00,8.00206085e+00,1.04892538e+02,1.71999263e+07,2.69798661e+03,1.18501922e-01,5.60048362e-07,6.00009375e-01,2.81488143e-01
6.60660661e+00,7.98305185e+00,1.08891391e+02,1.71435133e+07,2.69554094e+03,1.18501922e-01,5.60030589e-07,6.00009375e-01,2.81488143e-01
6.70670671e+00,7.96444577e+00,1.12824323e+02,1.70883807e+07,2.69314914e+03,1.18501922e-01,5.60012834e-07,6.00009375e-01,2.81488143e-01
6.80680681e+00,7.94622856e+00,1.16671974e+02,1.70344993e+07,2.69081211e+03,1.18501922e-01,5.59995161e-07,6.00009375e-01,2.81488143e-01
6.90690691e+00,7.92851600e+00,1.20440153e+02,1.69822100e+07,2.68854527e+03,1.18501922e-01,5.59977478e-07,6.00009375e-01,2.81488143e-01
7.00700701e+00,7.91119997e+00,1.24082902e+02,1.69311724e+07,2.68633224e+03,1.18501922e-01,5.59959815e-07,6.00009375e-01,2.81488143e-01
7.10710711e+00,7.89457003e+00,1.27637644e+02,1.68822042e+07,2.68420524e+03,1.18501922e-01,5.59942071e-07,6.00009375e-01,2.81488143e-01
7.20720721e+00,7.87848551e+00,1.31047233e+02,1.68348423e+07,2.68213953e+03,1.18501922e-01,5.59924260e-07,6.00009375e-01,2.81488143e-01
7.30730731e+00,7.86317665e+00,1.34335723e+02,1.67897224e+07,2.68015887e+03,1.18501922e-01,5.59906270e-07,6.00009375e-01,2.81488143e-01
