# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,3.60129646e+00,-1.16819928e+00,7.26965377e+06,2.53378583e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e-01,3.60129646e+00,1.16819928e+00,7.26965377e+06,2.53378583e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.00200200e-01,3.59663462e+00,5.74307066e+00,7.25666801e+06,2.53253808e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.00300300e-01,3.59317376e+00,9.25327875e+00,7.23879856e+06,2.52952479e+03,1.18464926e-01,5.83157680e-07,5.99822037e-01,2.81400229e-01
4.00400400e-01,3.59360469e+00,1.21548004e+01,7.23712210e+06,2.52890907e+03,1.18452120e-01,5.83094643e-07,5.99757199e-01,2.81369811e-01
5.00500501e-01,3.59633664e+00,1.66718120e+01,7.26919498e+06,2.53582796e+03,1.18562310e-01,5.83637063e-07,6.00315119e-01,2.81631553e-01
6.00600601e-01,3.60098136e+00,2.33006443e+01,7.27150249e+06,2.53438238e+03,1.18514530e-01,5.83401863e-07,6.00073199e-01,2.81518059e-01
7.00700701e-01,3.60502248e+00,2.74450727e+01,7.28561700e+06,2.53617954e+03,1.18527417e-01,5.83465301e-07,6.00138449e-01,2.81548670e-01
8.00800801e-01,3.60615206e+00,2.75835084e+01,7.26407186e+06,2.53024812e+03,1.18416833e-01,5.82920936e-07,5.99578528e-01,2.81285989e-01
9.00900901e-01,3.60735565e+00,2.60662937e+01,7.28636672e+06,2.53534528e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e+00,3.60726166e+00,2.90221993e+01,7.29544244e+06,2.53767367e+03,1.18543753e-01,5.83545713e-07,6.00221160e-01,2.81587473e-01
1.10110110e+00,3.60770468e+00,3.43273399e+01,7.29656985e+06,2.53776011e+03,1.18543475e-01,5.83544347e-07,6.00219754e-01,2.81586814e-01
1.20120120e+00,3.60510040e+00,4.12719414e+01,7.29257436e+06,2.53788314e+03,1.18558402e-01,5.83617828e-07,6.00295335e-01,2.81622272e-01
1.30130130e+00,3.60483009e+00,4.60890642e+01,7.27057668e+06,2.53245993e+03,1.18462784e-01,5.83147134e-07,5.99811191e-01,2.81395140e-01
1.40140140e+00,3.60187130e+00,4.80757876e+01,7.27113966e+06,2.53389926e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.50150150e+00,3.60096636e+00,5.03503435e+01,7.25267026e+06,2.52962254e+03,1.18430511e-01,5.82988268e-07,5.99647784e-01,2.81318480e-01
1.60160160e+00,3.60516819e+00,5.17457109e+01,7.28233498e+06,2.53527271e+03,1.18511609e-01,5.83387485e-07,6.00058410e-01,2.81511120e-01
1.70170170e+00,3.60502279e+00,5.24712443e+01,7.27434016e+06,2.53331501e+03,1.18477764e-01,5.83220877e-07,5.99887041e-01,2.81430725e-01
1.80180180e+00,3.59411648e+00,5.85764519e+01,7.27113693e+06,2.53726979e+03,1.18599807e-01,5.83821650e-07,6.00504981e-01,2.81720625e-01
1.90190190e+00,3.58782313e+00,6.44623770e+01,7.21277664e+06,2.52522897e+03,1.18416208e-01,5.82917862e-07,5.99575366e-01,2.81284506e-01
2.00200200e+00,3.59244652e+00,6.79329312e+01,7.26767589e+06,2.53710222e+03,1.18606292e-01,5.83853573e-07,6.00537817e-01,2.81736029e-01
2.10210210e+00,3.60374939e+00,7.25983477e+01,7.27767317e+06,2.53470157e+03,1.18509069e-01,5.83374982e-07,6.00045549e-01,2.81505087e-01
2.20220220e+00,3.60766270e+00,7.32035403e+01,7.27748419e+06,2.53295060e+03,1.18459278e-01,5.83129877e-07,5.99793440e-01,2.81386813e-01
2.30230230e+00,3.60092201e+00,7.72920915e+01,7.29148188e+06,2.53942502e+03,1.18606133e-01,5.83852790e-07,6.00537011e-01,2.81735651e-01
2.40240240e+00,3.59418585e+00,8.29883638e+01,7.24136639e+06,2.52970110e+03,1.18465322e-01,5.83159628e-07,5.99824041e-01,2.81401169e-01
2.50250250e+00,3.59617576e+00,8.61595068e+01,7.24856304e+06,2.53064701e+03,1.18473139e-01,5.83198109e-07,5.99863622e-01,2.81419738e-01
2.60260260e+00,3.60183347e+00,8.95031251e+01,7.28125822e+06,2.53644394e+03,1.18549026e-01,5.83571673e-07,6.00247861e-01,2.81600000e-01
2.70270270e+00,3.60194058e+00,9.17870570e+01,7.27702182e+06,2.53532973e+03,1.18528596e-01,5.83471104e-07,6.00144418e-01,2.81551470e-01
2.80280280e+00,3.59553126e+00,9.54652285e+01,7.25241111e+06,2.53190835e+03,1.18498218e-01,5.83321567e-07,5.99990607e-01,2.81479312e-01
2.90290290e+00,3.59220925e+00,9.73270969e+01,7.23342415e+06,2.52854364e+03,1.18454703e-01,5.83107355e-07,5.99770275e-01,2.81375945e-01
3.00300300e+00,3.59311684e+00,9.83541783e+01,7.23949595e+06,2.52967794e+03,1.18471043e-01,5.83187791e-07,5.99853010e-01,2.81414759e-01
3.10310310e+00,3.59393433e+00,1.02646840e+02,7.26695431e+06,2.53626812e+03,1.18584407e-01,5.83745838e-07,6.00427003e-01,2.81684042e-01
3.20320320e+00,3.59272095e+00,1.09057475e+02,7.26011903e+06,2.53506919e+03,1.18568928e-01,5.83669643e-07,6.00348631e-01,2.81647275e-01
3.30330330e+00,3.59077835e+00,1.15234011e+02,7.24365610e+06,2.53176064e+03,1.18518743e-01,5.83422603e-07,6.00094531e-01,2.81528066e-01
3.40340340e+00,3.58832107e+00,1.17515991e+02,7.21820442e+06,2.52638008e+03,1.18434887e-01,5.83009811e-07,5.99669943e-01,2.81328875e-01
3.50350350e+00,3.58583208e+00,1.19966802e+02,7.22755468e+06,2.52982888e+03,1.18508840e-01,5.83373854e-07,6.00044389e-01,2.81504543e-01
3.60360360e+00,3.58238129e+00,1.25333242e+02,7.21620661e+06,2.52843737e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.70370370e+00,3.58500334e+00,1.29985276e+02,7.21840832e+06,2.52782802e+03,1.18479937e-01,5.83231572e-07,5.99898042e-01,2.81435885e-01
3.80380380e+00,3.59402958e+00,1.35552680e+02,7.27246784e+06,2.53757775e+03,1.18609988e-01,5.83871764e-07,6.00556528e-01,2.81744807e-01
3.90390390e+00,3.59755245e+00,1.38396074e+02,7.25280039e+06,2.53106480e+03,1.18477473e-01,5.83219444e-07,5.99885566e-01,2.81430033e-01
4.00400400e+00,3.59207431e+00,1.41693628e+02,7.26817917e+06,2.53732239e+03,1.18616503e-01,5.83903838e-07,6.00589518e-01,2.81760284e-01
4.10410410e+00,3.58560101e+00,1.45782479e+02,7.20993512e+06,2.52536445e+03,1.18436561e-01,5.83018051e-07,5.99678418e-01,2.81332852e-01
4.20420420e+00,3.58776379e+00,1.46161690e+02,7.22329078e+06,2.52776601e+03,1.18471760e-01,5.83191324e-07,5.99856643e-01,2.81416464e-01
4.30430430e+00,3.58917659e+00,1.47568847e+02,7.23345941e+06,2.52968376e+03,1.18501936e-01,5.83339865e-07,6.00009429e-01,2.81488142e-01
4.40440440e+00,3.58660370e+00,1.51525173e+02,7.23641232e+06,2.53149984e+03,1.18550247e-01,5.83577686e-07,6.00254045e-01,2.81602901e-01
4.50450450e+00,3.58710928e+00,1.54813537e+02,7.21153499e+06,2.52489283e+03,1.18435150e-01,5.83011105e-07,5.99671273e-01,2.81329499e-01
