# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,4.03981132e+00,1.97041613e-01,8.51899685e+06,2.64692981e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e-01,4.03981132e+00,-1.97041613e-01,8.51899685e+06,2.64692981e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.00200200e-01,4.04078866e+00,-7.63206143e-01,8.52183751e+06,2.64717201e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.00300300e-01,4.04148668e+00,-1.26791222e+00,8.51997937e+06,2.64646977e+03,1.18487056e-01,5.83266620e-07,5.99934091e-01,2.81452798e-01
4.00400400e-01,4.04231802e+00,-1.34848001e+00,8.52708233e+06,2.64772899e+03,1.18505062e-01,5.83355257e-07,6.00025260e-01,2.81495569e-01
5.00500501e-01,4.04305420e+00,-1.13967881e+00,8.52558192e+06,2.64709000e+03,1.18491232e-01,5.83287177e-07,5.99955235e-01,2.81462717e-01
6.00600601e-01,4.04384935e+00,-8.26361129e-01,8.53164986e+06,2.64812894e+03,1.18505739e-01,5.83358589e-07,6.00028688e-01,2.81497177e-01
7.00700701e-01,4.04468643e+00,-2.62100947e-01,8.53191037e+06,2.64784469e+03,1.18497551e-01,5.83318279e-07,5.99987226e-01,2.81477725e-01
8.00800801e-01,4.04580581e+00,2.92492900e-01,8.53789282e+06,2.64873218e+03,1.18508110e-01,5.83370259e-07,6.00040691e-01,2.81502808e-01
9.00900901e-01,4.04684693e+00,8.08174884e-01,8.53926650e+06,2.64861504e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e+00,4.04726970e+00,9.51278869e-01,8.54046804e+06,2.64871101e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.10110110e+00,4.04722664e+00,1.00307728e+00,8.53994446e+06,2.64860832e+03,1.18500515e-01,5.83332873e-07,6.00002237e-01,2.81484767e-01
1.20120120e+00,4.04713497e+00,1.12000598e+00,8.54021454e+06,2.64870275e+03,1.18502722e-01,5.83343736e-07,6.00013410e-01,2.81490009e-01
1.30130130e+00,4.04710419e+00,1.07929576e+00,8.53802133e+06,2.64822000e+03,1.18494787e-01,5.83304676e-07,5.99973234e-01,2.81471161e-01
1.40140140e+00,4.04713235e+00,1.05069206e+00,8.53995313e+06,2.64864120e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.50150150e+00,4.04706223e+00,9.92155251e-01,8.53855374e+06,2.64835325e+03,1.18497443e-01,5.83317747e-07,5.99986679e-01,2.81477469e-01
1.60160160e+00,4.04683033e+00,9.43004301e-01,8.53974437e+06,2.64871306e+03,1.18504657e-01,5.83353262e-07,6.00023208e-01,2.81494606e-01
1.70170170e+00,4.04683537e+00,6.71391814e-01,8.53669028e+06,2.64802388e+03,1.18492959e-01,5.83295677e-07,5.99963978e-01,2.81466819e-01
1.80180180e+00,4.04694275e+00,5.43548491e-01,8.54309596e+06,2.64941916e+03,1.18516279e-01,5.83410470e-07,6.00082051e-01,2.81522212e-01
1.90190190e+00,4.04688959e+00,4.58251542e-01,8.53854308e+06,2.64841741e+03,1.18499479e-01,5.83327770e-07,5.99996988e-01,2.81482305e-01
2.00200200e+00,4.04692135e+00,4.53628038e-01,8.54405592e+06,2.64964314e+03,1.18520203e-01,5.83429788e-07,6.00101921e-01,2.81531534e-01
2.10210210e+00,4.04751547e+00,2.48647843e-01,8.54100990e+06,2.64871821e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.20220220e+00,4.04818299e+00,1.36564905e-01,8.54902273e+06,2.65024810e+03,1.18525081e-01,5.83453801e-07,6.00126620e-01,2.81543121e-01
2.30230230e+00,4.04837226e+00,1.15987333e-01,8.54371676e+06,2.64898079e+03,1.18502646e-01,5.83343363e-07,6.00013027e-01,2.81489830e-01
2.40240240e+00,4.04846521e+00,2.33869192e-01,8.55009262e+06,2.65037610e+03,1.18525926e-01,5.83457960e-07,6.00130898e-01,2.81545128e-01
2.50250250e+00,4.04896411e+00,1.86118808e-01,8.54422235e+06,2.64885682e+03,1.18497881e-01,5.83319907e-07,5.99988901e-01,2.81478511e-01
