# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,5.80310626e+00,7.98566580e-03,1.40417951e+07,3.03727087e+03,1.18500188e-01,5.83331262e-07,6.00000579e-01,2.81483990e-01
1.00100100e-01,5.80310626e+00,-7.98566580e-03,1.40417951e+07,3.03727087e+03,1.18500188e-01,5.83331262e-07,6.00000579e-01,2.81483990e-01
2.00200200e-01,5.80297669e+00,-4.26234721e-03,1.40416585e+07,3.03729149e+03,1.18500876e-01,5.83334651e-07,6.00004066e-01,2.81485626e-01
3.00300300e-01,5.80253258e+00,1.17874503e-01,1.40410301e+07,3.03733707e+03,1.18502864e-01,5.83344436e-07,6.00014130e-01,2.81490347e-01
4.00400400e-01,5.80218734e+00,2.56707008e-01,1.40385642e+07,3.03706259e+03,1.18499811e-01,5.83329407e-07,5.99998672e-01,2.81483095e-01
5.00500501e-01,5.80258141e+00,3.01193857e-01,1.40375478e+07,3.03677547e+03,1.18494388e-01,5.83302709e-07,5.99971211e-01,2.81470212e-01
6.00600601e-01,5.80504028e+00,-3.21091239e-01,1.40395147e+07,3.03628634e+03,1.18479875e-01,5.83231269e-07,5.99897730e-01,2.81435739e-01
7.00700701e-01,5.80942003e+00,-1.73536459e+00,1.40563331e+07,3.03750111e+03,1.18484973e-01,5.83256364e-07,5.99923542e-01,2.81447849e-01
8.00800801e-01,5.81030829e+00,-2.59150380e+00,1.40695486e+07,3.03928193e+03,1.18508761e-01,5.83373461e-07,6.00043985e-01,2.81504353e-01
9.00900901e-01,5.80621291e+00,-2.05360932e+00,1.40728370e+07,3.04112508e+03,1.18548176e-01,5.83567486e-07,6.00243555e-01,2.81597979e-01
1.00100100e+00,5.78680666e+00,3.20358278e+00,1.40320361e+07,3.04103868e+03,1.18604244e-01,5.83843492e-07,6.00527448e-01,2.81731165e-01
1.10110110e+00,5.74291231e+00,1.80902749e+01,1.38865060e+07,3.03243664e+03,1.18606782e-01,5.83855984e-07,6.00540296e-01,2.81737192e-01
1.20120120e+00,5.68318824e+00,3.86013617e+01,1.36434988e+07,3.01334436e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.30130130e+00,5.61223878e+00,6.09061524e+01,1.33842449e+07,2.99498113e+03,1.18441555e-01,5.83042633e-07,5.99703703e-01,2.81344713e-01
1.40140140e+00,5.54232452e+00,8.25475737e+01,1.31647816e+07,2.98245048e+03,1.18464690e-01,5.83156518e-07,5.99820842e-01,2.81399668e-01
1.50150150e+00,5.47090697e+00,1.06003418e+02,1.29463753e+07,2.97032461e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.60160160e+00,5.38800418e+00,1.34591798e+02,1.26848857e+07,2.95453873e+03,1.18524847e-01,5.83452649e-07,6.00125436e-01,2.81542565e-01
1.70170170e+00,5.29171875e+00,1.68006117e+02,1.23609928e+07,2.93222412e+03,1.18494964e-01,5.83305545e-07,5.99974128e-01,2.81471580e-01
1.80180180e+00,5.20011219e+00,2.00818010e+02,1.20691394e+07,2.91325595e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.90190190e+00,5.11445636e+00,2.27627108e+02,1.17779031e+07,2.89180638e+03,1.18451276e-01,5.83090489e-07,5.99752926e-01,2.81367806e-01
2.00200200e+00,5.05185211e+00,2.51898585e+02,1.15973977e+07,2.88154212e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.10210210e+00,4.99789133e+00,2.67444327e+02,1.13929981e+07,2.86362625e+03,1.18406444e-01,5.82869796e-07,5.99525927e-01,2.81261312e-01
2.20220220e+00,4.95230806e+00,2.79774877e+02,1.13063935e+07,2.86406205e+03,1.18569906e-01,5.83674455e-07,6.00353581e-01,2.81649597e-01
2.30230230e+00,4.91591536e+00,2.96561671e+02,1.11992397e+07,2.85745154e+03,1.18589360e-01,5.83770224e-07,6.00452085e-01,2.81695809e-01
2.40240240e+00,4.89791384e+00,3.09104756e+02,1.11130012e+07,2.84796908e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.50250250e+00,4.88316571e+00,3.10676091e+02,1.10294135e+07,2.83770467e+03,1.18392507e-01,5.82801191e-07,5.99455361e-01,2.81228207e-01
2.60260260e+00,4.88024454e+00,3.11166274e+02,1.10574086e+07,2.84398186e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.70270270e+00,4.87938693e+00,3.12690057e+02,1.10594125e+07,2.84469037e+03,1.18514709e-01,5.83402741e-07,6.00074102e-01,2.81518482e-01
2.80280280e+00,4.87945991e+00,3.11428286e+02,1.10520651e+07,2.84328678e+03,1.18492666e-01,5.83294234e-07,5.99962494e-01,2.81466123e-01
2.90290290e+00,4.87845184e+00,3.09420646e+02,1.10408349e+07,2.84155844e+03,1.18468737e-01,5.83176440e-07,5.99841333e-01,2.81409281e-01
3.00300300e+00,4.88047601e+00,3.08599768e+02,1.10751442e+07,2.84725267e+03,1.18550026e-01,5.83576597e-07,6.00252926e-01,2.81602376e-01
3.10310310e+00,4.88271362e+00,3.10778819e+02,1.10803997e+07,2.84745660e+03,1.18543438e-01,5.83544163e-07,6.00219565e-01,2.81586725e-01
3.20320320e+00,4.88311687e+00,3.10809987e+02,1.10675368e+07,2.84491246e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.30330330e+00,4.88057485e+00,3.09497892e+02,1.10647510e+07,2.84530634e+03,1.18517393e-01,5.83415957e-07,6.00087695e-01,2.81524860e-01
3.40340340e+00,4.87973229e+00,3.08016435e+02,1.10586841e+07,2.84448105e+03,1.18507235e-01,5.83365953e-07,6.00036263e-01,2.81500730e-01
