# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,4.04740665e+00,2.68251845e-01,8.54119973e+06,2.64884830e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e-01,4.04740665e+00,-2.68251845e-01,8.54119973e+06,2.64884830e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.00200200e-01,4.04721446e+00,-1.02124845e+00,8.54063724e+06,2.64879963e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.00300300e-01,4.04655092e+00,-1.80851427e+00,8.53668441e+06,2.64817907e+03,1.18494263e-01,5.83302095e-07,5.99970579e-01,2.81469916e-01
4.00400400e-01,4.04606591e+00,-2.46157907e+00,8.53568224e+06,2.64814819e+03,1.18495936e-01,5.83310333e-07,5.99979053e-01,2.81473891e-01
5.00500501e-01,4.04618972e+00,-2.69631938e+00,8.53743869e+06,2.64848800e+03,1.18501488e-01,5.83337659e-07,6.00007160e-01,2.81487077e-01
6.00600601e-01,4.04617462e+00,-2.79501845e+00,8.53651644e+06,2.64828122e+03,1.18498381e-01,5.83322364e-07,5.99991428e-01,2.81479697e-01
7.00700701e-01,4.04548659e+00,-2.41865635e+00,8.53742870e+06,2.64876059e+03,1.18509748e-01,5.83378321e-07,6.00048984e-01,2.81506699e-01
8.00800801e-01,4.04422567e+00,-1.50530443e+00,8.53193502e+06,2.64803193e+03,1.18503014e-01,5.83345172e-07,6.00014887e-01,2.81490703e-01
9.00900901e-01,4.04335537e+00,-6.73414132e-01,8.52906830e+06,2.64773629e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e+00,4.04337022e+00,2.61873849e-01,8.52907837e+06,2.64772970e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.10110110e+00,4.04346002e+00,6.78671167e-01,8.52559942e+06,2.64690873e+03,1.18487697e-01,5.83269775e-07,5.99937335e-01,2.81454320e-01
1.20120120e+00,4.04371505e+00,1.07825165e+00,8.53058835e+06,2.64792481e+03,1.18504065e-01,5.83350346e-07,6.00020209e-01,2.81493199e-01
1.30130130e+00,4.04414806e+00,1.59819306e+00,8.53016912e+06,2.64765222e+03,1.18497752e-01,5.83319271e-07,5.99988246e-01,2.81478204e-01
1.40140140e+00,4.04407866e+00,1.82167368e+00,8.53102230e+06,2.64786923e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.50150150e+00,4.04388571e+00,1.93766569e+00,8.52962575e+06,2.64763018e+03,1.18498877e-01,5.83324810e-07,5.99993944e-01,2.81480877e-01
1.60160160e+00,4.04393856e+00,1.86562154e+00,8.52947481e+06,2.64757318e+03,1.18497783e-01,5.83319422e-07,5.99988402e-01,2.81478277e-01
1.70170170e+00,4.04479758e+00,1.34575589e+00,8.53027088e+06,2.64740285e+03,1.18491297e-01,5.83287497e-07,5.99955564e-01,2.81462872e-01
1.80180180e+00,4.04574572e+00,6.67976224e-01,8.53402763e+06,2.64786250e+03,1.18495126e-01,5.83306345e-07,5.99974951e-01,2.81471967e-01
1.90190190e+00,4.04644183e+00,4.99646695e-02,8.53538488e+06,2.64788541e+03,1.18492559e-01,5.83293706e-07,5.99961951e-01,2.81465868e-01
2.00200200e+00,4.04630208e+00,-7.46788189e-01,8.53617278e+06,2.64811941e+03,1.18497118e-01,5.83316148e-07,5.99985034e-01,2.81476697e-01
2.10210210e+00,4.04560144e+00,-1.15244877e+00,8.53539324e+06,2.64822871e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.20220220e+00,4.04411043e+00,-1.56150062e+00,8.53106006e+06,2.64786015e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.30230230e+00,4.04315933e+00,-1.45692010e+00,8.53216460e+06,2.64849567e+03,1.18516702e-01,5.83412554e-07,6.00084195e-01,2.81523217e-01
2.40240240e+00,4.04271001e+00,-1.23892081e+00,8.52630881e+06,2.64736245e+03,1.18499228e-01,5.83326535e-07,5.99995718e-01,2.81481709e-01
2.50250250e+00,4.04261907e+00,-8.99550128e-01,8.52966223e+06,2.64815533e+03,1.18513006e-01,5.83394361e-07,6.00065482e-01,2.81514438e-01
2.60260260e+00,4.04260102e+00,-6.21097613e-01,8.52511922e+06,2.64714277e+03,1.18495722e-01,5.83309277e-07,5.99977967e-01,2.81473382e-01
2.70270270e+00,4.04238464e+00,-4.20803737e-01,8.52834491e+06,2.64795803e+03,1.18510404e-01,5.83381553e-07,6.00052308e-01,2.81508258e-01
2.80280280e+00,4.04175344e+00,-1.13706259e-01,8.52422775e+06,2.64728960e+03,1.18501604e-01,5.83338233e-07,6.00007750e-01,2.81487354e-01
2.90290290e+00,4.04088072e+00,5.11949467e-01,8.52531491e+06,2.64788998e+03,1.18515436e-01,5.83406324e-07,6.00077787e-01,2.81520211e-01
3.00300300e+00,4.04165266e+00,7.58155096e-01,8.52053224e+06,2.64650204e+03,1.18488434e-01,5.83273400e-07,5.99941064e-01,2.81456069e-01
3.10310310e+00,4.04288899e+00,6.05320867e-01,8.53278998e+06,2.64876036e+03,1.18521469e-01,5.83436022e-07,6.00108333e-01,2.81534542e-01
3.20320320e+00,4.04524091e+00,1.60825771e+00,8.54005904e+06,2.64944404e+03,1.18522878e-01,5.83442954e-07,6.00115463e-01,2.81537887e-01
3.30330330e+00,4.04961328e+00,2.15677968e+00,8.54854623e+06,2.64958187e+03,1.18506405e-01,5.83361868e-07,6.00032060e-01,2.81498759e-01
3.40340340e+00,4.05305986e+00,2.01600986e+00,8.55747317e+06,2.65019347e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.50350350e+00,4.05528984e+00,1.42123848e+00,8.56070322e+06,2.65001885e+03,1.18489273e-01,5.83277531e-07,5.99945313e-01,2.81458062e-01
3.60360360e+00,4.05477545e+00,8.32218604e-01,8.56255563e+06,2.65064550e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.70370370e+00,4.05314063e+00,1.04371112e+00,8.55748187e+06,2.65017174e+03,1.18500655e-01,5.83333563e-07,6.00002947e-01,2.81485101e-01
3.80380380e+00,4.05179099e+00,1.48006567e+00,8.55752478e+06,2.65072929e+03,1.18515788e-01,5.83408057e-07,6.00079569e-01,2.81521047e-01
3.90390390e+00,4.05194388e+00,1.46493805e+00,8.55015244e+06,2.64901270e+03,1.18485949e-01,5.83261170e-07,5.99928485e-01,2.81450168e-01
4.00400400e+00,4.05183296e+00,1.03751174e+00,8.55961789e+06,2.65118080e+03,1.18523360e-01,5.83445330e-07,6.00117907e-01,2.81539033e-01
4.10410410e+00,4.05071844e+00,1.01139265e+00,8.55189750e+06,2.64989706e+03,1.18506421e-01,5.83361945e-07,6.00032139e-01,2.81498796e-01
4.20420420e+00,4.04897106e+00,3.21319541e-01,8.54636091e+06,2.64935343e+03,1.18505120e-01,5.83355541e-07,6.00025552e-01,2.81495706e-01
4.30430430e+00,4.04826930e+00,8.90759012e-02,8.54287907e+06,2.64884033e+03,1.18500324e-01,5.83331935e-07,6.00001269e-01,2.81484314e-01
4.40440440e+00,4.04820515e+00,-1.12690346e-01,8.54130701e+06,2.64847991e+03,1.18496519e-01,5.83313207e-07,5.99982002e-01,2.81475275e-01
4.50450450e+00,4.04759501e+00,4.22080753e-01,8.53950767e+06,2.64825030e+03,1.18499688e-01,5.83328808e-07,5.99998048e-01,2.81482802e-01
4.60460460e+00,4.04775262e+00,1.04301969e+00,8.53123545e+06,2.64623716e+03,1.18470346e-01,5.83184360e-07,5.99849482e-01,2.81413104e-01
4.70470470e+00,4.04911229e+00,1.60701746e+00,8.53773921e+06,2.64702461e+03,1.18485592e-01,5.83259425e-07,5.99926675e-01,2.81449318e-01
4.80480480e+00,4.05047140e+00,2.05801523e+00,8.53206879e+06,2.64504325e+03,1.18455834e-01,5.83113318e-07,5.99776004e-01,2.81378633e-01
4.90490490e+00,4.05108924e+00,1.89339106e+00,8.53189136e+06,2.64455173e+03,1.18457318e-01,5.83122845e-07,5.99783516e-01,2.81382157e-01
5.00500501e+00,4.05155070e+00,1.57746653e+00,8.52813406e+06,2.64328313e+03,1.18448486e-01,5.83088348e-07,5.99738796e-01,2.81361177e-01
5.10510511e+00,4.05256788e+00,1.23353188e+00,8.53026606e+06,2.64305737e+03,1.18458477e-01,5.83166482e-07,5.99789385e-01,2.81384910e-01
5.20520521e+00,4.05406681e+00,9.38362627e-01,8.52937750e+06,2.64180191e+03,1.18458612e-01,5.83246699e-07,5.99790069e-01,2.81385231e-01
5.30530531e+00,4.05588101e+00,9.21411685e-01,8.53355990e+06,2.64143189e+03,1.18480281e-01,5.83545507e-07,5.99899784e-01,2.81436703e-01
5.40540541e+00,4.05770448e+00,9.55675917e-01,8.53232137e+06,2.63982644e+03,1.18481862e-01,5.83966038e-07,5.99907790e-01,2.81440458e-01
5.50550551e+00,4.05994991e+00,9.88706541e-01,8.53733730e+06,2.63947051e+03,1.18501925e-01,5.84861613e-07,6.00009375e-01,2.81488115e-01
5.60560561e+00,4.06332293e+00,9.57424421e-01,8.53609369e+06,2.63707061e+03,1.18494047e-01,5.86232199e-07,5.99969482e-01,2.81469398e-01
5.70570571e+00,4.06730741e+00,8.52943701e-01,8.53637059e+06,2.63439754e+03,1.18501926e-01,5.88579521e-07,6.00009375e-01,2.81488111e-01
5.80580581e+00,4.07243819e+00,7.67105597e-01,8.53347169e+06,2.63018501e+03,1.18501926e-01,5.92081826e-07,6.00009375e-01,2.81488107e-01
5.90590591e+00,4.07999745e+00,8.09539898e-01,8.53139880e+06,2.62467419e+03,1.18501927e-01,5.97042762e-07,6.00009375e-01,2.81488101e-01
6.00600601e+00,4.08999580e+00,1.02808128e+00,8.52897980e+06,2.61751555e+03,1.18501928e-01,6.03712447e-07,6.00009375e-01,2.81488094e-01
6.10610611e+00,4.10299719e+00,1.25559876e+00,8.52792204e+06,2.60889769e+03,1.18501929e-01,6.12154408e-07,6.00009375e-01,2.81488084e-01
