# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,4.05820316e+00,3.87950856e-02,8.57268847e+06,2.65154076e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e-01,4.05820316e+00,-3.87950856e-02,8.57268847e+06,2.65154076e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.00200200e-01,4.05762197e+00,-2.26961290e-02,8.57098841e+06,2.65139464e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.00300300e-01,4.05602492e+00,2.68465378e-01,8.56756779e+06,2.65127340e+03,1.18506692e-01,5.83363280e-07,6.00033512e-01,2.81499440e-01
4.00400400e-01,4.05252744e+00,1.24251037e+00,8.55748599e+06,2.65042684e+03,1.18507236e-01,5.83365954e-07,6.00036264e-01,2.81500731e-01
5.00500501e-01,4.04935917e+00,2.24388530e+00,8.55023620e+06,2.65007993e+03,1.18514993e-01,5.83404141e-07,6.00075541e-01,2.81519158e-01
6.00600601e-01,4.04659088e+00,2.27407405e+00,8.53838728e+06,2.64853541e+03,1.18500784e-01,5.83334195e-07,6.00003597e-01,2.81485406e-01
7.00700701e-01,4.04532017e+00,1.90340920e+00,8.53303778e+06,2.64784195e+03,1.18494766e-01,5.83304570e-07,5.99973125e-01,2.81471110e-01
8.00800801e-01,4.04426306e+00,1.45336705e+00,8.53094296e+06,2.64779384e+03,1.18498794e-01,5.83324398e-07,5.99993520e-01,2.81480678e-01
9.00900901e-01,4.04358889e+00,1.26235129e+00,8.52975667e+06,2.64779707e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e+00,4.04360540e+00,1.33618008e+00,8.52976370e+06,2.64778845e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.10110110e+00,4.04384720e+00,1.42823043e+00,8.52959011e+06,2.64764657e+03,1.18498777e-01,5.83324318e-07,5.99993437e-01,2.81480639e-01
1.20120120e+00,4.04418687e+00,1.60943716e+00,8.53179147e+06,2.64800048e+03,1.18503564e-01,5.83347883e-07,6.00017676e-01,2.81492011e-01
1.30130130e+00,4.04447489e+00,1.56390892e+00,8.52961946e+06,2.64739283e+03,1.18492150e-01,5.83291696e-07,5.99959883e-01,2.81464898e-01
1.40140140e+00,4.04498071e+00,1.35278239e+00,8.53361765e+06,2.64808411e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.50150150e+00,4.04564565e+00,1.08707098e+00,8.53355547e+06,2.64779834e+03,1.18494372e-01,5.83302633e-07,5.99971133e-01,2.81470175e-01
1.60160160e+00,4.04644748e+00,6.51779732e-01,8.53667673e+06,2.64817325e+03,1.18497446e-01,5.83317763e-07,5.99986695e-01,2.81477476e-01
1.70170170e+00,4.04717278e+00,1.32554531e-01,8.53759538e+06,2.64808454e+03,1.18492928e-01,5.83295526e-07,5.99963823e-01,2.81466746e-01
1.80180180e+00,4.04764004e+00,-1.87952933e-01,8.54011685e+06,2.64846141e+03,1.18497377e-01,5.83317424e-07,5.99986347e-01,2.81477313e-01
1.90190190e+00,4.04818422e+00,-1.90476632e-01,8.54197544e+06,2.64865865e+03,1.18498408e-01,5.83322498e-07,5.99991565e-01,2.81479761e-01
2.00200200e+00,4.04836672e+00,-5.91615896e-02,8.54542768e+06,2.64936060e+03,1.18509547e-01,5.83377335e-07,6.00047969e-01,2.81506223e-01
2.10210210e+00,4.04870904e+00,4.78396007e-02,8.54443840e+06,2.64900029e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.20220220e+00,4.04908172e+00,-1.21944133e-01,8.54553283e+06,2.64909575e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.30230230e+00,4.04849567e+00,-3.49478242e-01,8.54279017e+06,2.64871837e+03,1.18497921e-01,5.83320103e-07,5.99989102e-01,2.81478606e-01
2.40240240e+00,4.04666934e+00,-5.06589251e-01,8.53934290e+06,2.64868616e+03,1.18505004e-01,5.83354967e-07,6.00024962e-01,2.81495429e-01
2.50250250e+00,4.04406537e+00,-6.09344179e-03,8.53540611e+06,2.64885968e+03,1.18518876e-01,5.83423257e-07,6.00095204e-01,2.81528382e-01
2.60260260e+00,4.04288141e+00,6.69348679e-01,8.52910312e+06,2.64792472e+03,1.18507868e-01,5.83369067e-07,6.00039465e-01,2.81502233e-01
2.70270270e+00,4.04270902e+00,8.53479159e-01,8.52579454e+06,2.64725197e+03,1.18497054e-01,5.83315836e-07,5.99984713e-01,2.81476547e-01
2.80280280e+00,4.04257387e+00,1.04800610e+00,8.52785194e+06,2.64777094e+03,1.18506380e-01,5.83361741e-07,6.00031930e-01,2.81498698e-01
2.90290290e+00,4.04262612e+00,1.62004868e+00,8.52874113e+06,2.64795137e+03,1.18509129e-01,5.83375273e-07,6.00045849e-01,2.81505228e-01
3.00300300e+00,4.04291715e+00,1.86279117e+00,8.52659933e+06,2.64735383e+03,1.18497580e-01,5.83318422e-07,5.99987373e-01,2.81477795e-01
3.10310310e+00,4.04297428e+00,1.65603381e+00,8.52627130e+06,2.64725915e+03,1.18495585e-01,5.83308601e-07,5.99977271e-01,2.81473055e-01
3.20320320e+00,4.04375148e+00,1.58129560e+00,8.53281108e+06,2.64841759e+03,1.18511820e-01,5.83388520e-07,6.00059474e-01,2.81511620e-01
3.30330330e+00,4.04526725e+00,1.55166226e+00,8.53428383e+06,2.64813809e+03,1.18500366e-01,5.83332138e-07,6.00001481e-01,2.81484413e-01
3.40340340e+00,4.04733561e+00,1.09652050e+00,8.54076842e+06,2.64876103e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.50350350e+00,4.04887155e+00,4.20436407e-01,8.54389034e+06,2.64884407e+03,1.18496556e-01,5.83313382e-07,5.99982189e-01,2.81475362e-01
3.60360360e+00,4.05001826e+00,-3.75290785e-02,8.54869025e+06,2.64946173e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.70370370e+00,4.05026078e+00,-4.59241644e-01,8.54945381e+06,2.64953971e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.80380380e+00,4.05069414e+00,-5.84189245e-01,8.55246343e+06,2.65004403e+03,1.18508401e-01,5.83371694e-07,6.00042167e-01,2.81503500e-01
3.90390390e+00,4.05110230e+00,-6.27079894e-01,8.55181563e+06,2.64973539e+03,1.18501287e-01,5.83336674e-07,6.00006147e-01,2.81486602e-01
4.00400400e+00,4.05102709e+00,-8.20725939e-01,8.55175358e+06,2.64975217e+03,1.18501877e-01,5.83339577e-07,6.00009133e-01,2.81488003e-01
4.10410410e+00,4.05068214e+00,-9.50508803e-01,8.54907106e+06,2.64928800e+03,1.18495551e-01,5.83308437e-07,5.99977102e-01,2.81472976e-01
4.20420420e+00,4.05015363e+00,-9.11731793e-01,8.54916089e+06,2.64951903e+03,1.18501925e-01,5.83339814e-07,6.00009375e-01,2.81488116e-01
